PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,4,1,3,0.25,15.033333333333333,4,8,0.5,2,5,0.4,1,3,0.333,1,2,3,0,0,0,0,1,0,2,11,-10,14.6,0,0,16.0,500,501,46,451,510,478,491,121,420,442,81,480,469,496,485,502,505,513,512,495,470,58,1,469,484,275,500,214,32,497
1631260,AJ Green,AJ,1610612749,MIL,25.0,46,26,20,0.565,1008.0366666666666,119,276,0.431,99,232,0.427,16,18,0.889,11,94,105,57,24,24,5,2,98,32,353,71,627.5,0,0,672.0,144,103,327,175,181,229,218,321,61,91,47,330,349,63,373,247,273,249,298,244,344,95,427,285,213,98,257,214,32,239
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,10,4,6,0.4,69.76666666666667,11,27,0.407,4,10,0.4,1,2,0.5,0,9,9,12,5,1,0,3,5,1,27,15,53.8,0,0,54.0,452,450,96,364,458,449,446,392,392,420,81,480,472,459,503,460,471,411,436,472,470,118,57,488,452,168,457,214,32,452
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,32,22,10,0.688,848.9616666666667,135,269,0.502,36,87,0.414,82,103,0.796,49,105,154,103,40,15,8,22,49,80,388,222,756.3,2,0,727.0,303,172,145,82,219,202,222,119,225,247,57,114,119,221,110,221,193,138,213,312,287,388,241,130,193,32,222,122,32,217
1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,39,23,16,0.59,476.89166666666665,65,155,0.419,34,99,0.343,21,23,0.913,8,39,47,50,20,15,4,5,45,30,185,45,353.4,0,0,354.0,230,150,248,155,317,312,305,362,232,231,245,302,325,39,397,354,372,271,324,312,365,156,230,291,308,128,331,214,32,327
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,18,10,8,0.556,369.74833333333333,47,101,0.465,17,47,0.362,26,29,0.897,8,48,56,25,13,12,5,5,48,28,137,28,279.7,0,0,269.0,409,347,128,187,350,344,348,203,291,308,187,284,306,56,397,334,351,360,365,340,344,156,237,302,339,153,357,214,32,354
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,54,44,10,0.815,1190.6133333333332,232,466,0.498,83,218,0.381,41,48,0.854,58,142,200,85,46,42,13,27,70,41,588,341,1074.5,2,0,1066.0,10,1,145,32,136,98,110,136,94,103,125,215,239,121,96,143,125,186,192,114,202,418,322,249,109,13,131,122,32,128
1641745,Adam Flagler,Adam,1610612760,OKC,25.0,22,19,3,0.864,92.16666666666667,12,55,0.218,7,44,0.159,0,0,0.0,3,5,8,0,1,5,2,1,8,0,31,-14,60.6,0,0,60.0,381,213,46,17,445,441,403,509,363,316,450,504,506,504,454,479,475,513,492,413,407,58,82,514,446,288,450,214,32,450
1641766,Adama Sanogo,Adama,1610612741,CHI,23.0,4,2,2,0.5,21.498333333333335,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,1,1,8,-5,15.7,0,0,15.0,500,483,29,249,501,478,499,52,458,505,458,504,506,504,428,516,485,491,492,495,470,58,16,488,493,258,497,214,32,499
1641737,Adem Bona,Adem,1610612755,PHI,21.0,37,10,27,0.27,410.7733333333333,41,59,0.695,0,0,0.0,28,44,0.636,38,66,104,11,25,7,28,6,70,39,110,-29,331.3,0,0,295.0,250,347,447,443,336,355,396,13,458,505,458,276,252,415,164,293,275,418,292,394,88,182,322,256,358,344,338,214,32,343
1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,34,29,5,0.853,561.1983333333334,84,166,0.506,22,51,0.431,28,33,0.848,17,50,67,57,28,24,3,11,59,50,218,114,436.9,1,0,418.0,284,66,83,22,297,282,297,115,272,299,37,276,285,126,313,329,332,249,274,244,381,261,270,221,286,79,309,144,32,306
201143,Al Horford,Al,1610612738,BOS,38.0,43,30,13,0.698,1147.1966666666667,124,307,0.404,77,218,0.353,16,18,0.889,48,190,238,81,31,24,39,5,61,20,341,242,906.1,3,0,863.0,188,48,188,73,147,220,197,402,102,103,220,330,349,63,116,73,85,194,256,244,48,156,279,341,219,27,181,100,32,186
202692,Alec Burks,Alec,1610612748,MIA,33.0,29,14,15,0.483,502.27,57,134,0.425,42,97,0.433,29,38,0.763,12,65,77,33,11,18,6,4,21,29,185,55,387.9,0,0,385.0,331,280,228,286,309,325,319,341,211,234,34,271,269,263,367,297,315,324,382,288,326,140,147,295,308,116,321,214,32,315
1627936,Alex Caruso,Alex,1610612760,OKC,30.0,33,27,6,0.818,628.3883333333333,75,185,0.405,35,109,0.321,13,16,0.813,23,66,89,84,20,56,16,9,65,29,198,224,626.8,0,0,550.0,291,88,96,30,273,298,279,400,228,221,307,351,367,199,264,293,296,188,324,45,177,240,298,295,303,30,258,214,32,268
1642505,Alex Ducas,Alex,1610612760,OKC,24.0,15,14,1,0.933,70.995,8,22,0.364,7,16,0.438,0,0,0.0,5,10,15,2,2,2,0,1,5,0,23,-25,48.0,0,0,51.0,435,280,8,8,457,461,456,455,363,391,30,504,506,504,428,453,448,478,469,450,470,58,57,514,461,331,467,214,32,457
203458,Alex Len,Alex,1610612747,LAL,31.0,37,19,18,0.514,279.54,24,46,0.522,1,6,0.167,7,13,0.538,27,44,71,32,11,8,19,5,38,16,56,-104,259.2,0,0,214.0,250,213,280,240,374,403,423,95,435,434,444,406,385,453,229,344,323,331,382,383,146,156,207,361,416,454,364,214,32,373
1642024,Alex Reese,Alex,1610612760,OKC,25.0,1,1,0,1.0,1.8833333333333333,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,2,3,3.2,0,0,3.0,525,501,1,1,532,509,524,1,458,505,458,504,506,504,485,524,521,513,512,495,470,1,1,514,520,215,526,214,32,523
1642259,Alex Sarr,Alex,1610612764,WAS,19.0,42,5,37,0.119,1129.435,181,461,0.393,60,195,0.308,57,89,0.64,75,203,278,94,58,27,66,21,98,62,479,-408,1174.6,6,0,1097.0,199,438,525,508,151,146,114,421,152,131,335,165,139,412,58,67,65,162,144,219,12,380,427,188,158,529,112,72,32,118
1631214,Alondes Williams,Alondes,1610612765,DET,25.0,1,0,1,0.0,3.716666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5,6,6.5,0,0,7.0,525,517,8,517,528,497,519,1,435,486,1,504,506,504,503,524,528,491,512,495,470,1,1,514,505,204,516,214,32,514
1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,52,34,18,0.654,1614.8766666666668,386,786,0.491,17,74,0.23,188,271,0.694,172,372,544,254,123,64,39,61,146,277,977,217,2196.8,32,3,1998.0,37,27,280,111,46,30,31,148,291,261,417,21,16,360,7,14,8,32,32,28,48,529,522,5,37,35,14,8,7,22
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,52,32,20,0.615,1658.25,274,505,0.543,17,67,0.254,147,208,0.707,140,280,420,179,112,74,66,38,122,145,712,104,1792.5,15,3,1608.0,37,36,327,133,38,68,93,77,291,271,391,50,35,344,14,27,20,71,44,15,12,479,494,56,76,86,39,27,7,47
1629599,Amir Coffey,Amir,1610612746,LAC,27.0,52,30,22,0.577,1344.5716666666667,186,391,0.476,83,194,0.428,87,96,0.906,26,99,125,58,38,29,7,20,87,71,542,0,849.0,0,0,880.0,37,48,367,163,100,143,152,173,94,133,44,109,128,44,238,240,248,246,221,201,310,368,385,161,129,234,200,214,32,180
203083,Andre Drummond,Andre,1610612755,PHI,31.0,30,10,20,0.333,560.5133333333333,84,166,0.506,1,12,0.083,35,61,0.574,74,152,226,19,47,33,13,20,71,51,204,-144,594.7,3,0,542.0,322,347,327,409,298,282,297,115,435,407,454,245,198,443,62,121,93,384,186,168,202,368,330,217,296,481,264,100,32,271
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,51,28,23,0.549,884.085,82,174,0.471,27,70,0.386,10,18,0.556,58,105,163,74,51,30,13,5,105,24,201,-40,585.6,0,0,551.0,64,77,383,199,211,285,289,190,255,267,112,377,349,445,96,221,173,207,171,195,202,156,453,323,301,368,267,214,32,267
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,37,24,13,0.649,1048.9133333333334,144,308,0.468,28,87,0.322,72,92,0.783,20,101,121,182,65,47,4,23,87,78,388,97,894.2,0,0,821.0,250,134,188,114,172,193,196,198,253,247,305,131,133,239,293,233,255,66,117,84,365,398,385,142,193,89,189,214,32,197
203952,Andrew Wiggins,Andrew,1610612748,MIA,29.0,45,21,24,0.467,1360.8416666666667,268,612,0.438,97,261,0.372,146,188,0.777,70,136,206,110,59,42,35,51,73,133,779,-76,1363.2,3,0,1346.0,161,185,397,302,98,72,60,295,69,64,160,52,45,249,72,155,115,127,140,114,64,519,340,65,65,428,86,100,32,80
