Opponent,PTS,REB,AST,STL,BLK,TOV,FG_PCT
ATL,34.5,6.5,9.5,1.0,1.5,3.5,0.605
BKN,29.0,7.0,8.0,1.0,2.0,5.0,0.706
BOS,20.0,14.0,6.0,0.0,0.0,2.0,0.45
CHA,22.0,7.0,8.0,0.0,0.0,5.0,0.529
CLE,24.5,5.0,5.0,0.0,0.5,4.0,0.6105
DAL,18.0,10.0,8.0,1.0,0.0,2.0,0.5
DEN,18.0,6.0,7.0,3.0,0.0,6.0,0.412
DET,24.0,9.5,11.0,1.0,0.0,1.5,0.5315
GSW,32.666666666666664,8.666666666666666,10.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.5283333333333333
HOU,21.0,13.0,9.0,1.0,0.0,2.0,0.5
LAC,25.5,6.5,10.0,3.0,0.5,4.0,0.5325
MEM,30.666666666666668,9.0,9.333333333333334,1.0,0.6666666666666666,5.333333333333333,0.5426666666666666
MIA,25.5,5.0,8.5,1.5,0.0,3.5,0.6335
MIN,13.0,6.5,4.0,0.0,1.0,4.0,0.344
NOP,21.0,7.0,5.0,1.0,0.0,6.0,0.421
NYK,33.0,11.0,12.0,0.0,0.0,5.0,0.538
OKC,12.0,8.0,6.0,0.0,0.0,5.0,0.385
ORL,31.0,10.0,7.0,0.0,1.0,4.0,0.545
PHI,26.0,10.0,11.0,0.5,1.5,5.0,0.634
PHX,16.666666666666668,5.666666666666667,8.666666666666666,0.3333333333333333,0.0,3.0,0.39666666666666667
POR,38.0,3.0,8.0,0.0,0.0,4.0,0.6
SAC,27.666666666666668,9.0,7.666666666666667,1.3333333333333333,0.6666666666666666,3.6666666666666665,0.48933333333333334
SAS,16.333333333333332,10.333333333333334,10.333333333333334,1.0,0.6666666666666666,6.333333333333333,0.5266666666666667
TOR,23.0,8.0,13.0,1.0,0.0,1.5,0.479
UTA,23.75,5.0,10.25,0.5,0.5,4.25,0.502
WAS,22.5,6.5,12.0,1.0,0.5,2.5,0.45899999999999996
